IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.134.112.3,443,N/A,N/A,N/A,N/A,N/A,11.96,2.70
34.132.0.4,443,N/A,N/A,N/A,N/A,N/A,5.61,2.51
134.231.253.5,443,N/A,N/A,N/A,N/A,N/A,48.56,2.36
198.135.184.5,443,N/A,N/A,N/A,N/A,N/A,28.68,1.84
34.143.75.2,443,N/A,N/A,N/A,N/A,N/A,8.95,1.57
35.243.112.1,443,N/A,N/A,N/A,N/A,N/A,57.88,1.54
34.67.176.3,443,N/A,N/A,N/A,N/A,N/A,51.55,1.22
35.185.112.3,443,N/A,N/A,N/A,N/A,N/A,46.12,1.01
23.251.140.3,443,N/A,N/A,N/A,N/A,N/A,8.36,0.88
34.71.16.5,443,N/A,N/A,N/A,N/A,N/A,38.40,0.86
104.18.56.3,443,N/A,N/A,N/A,N/A,N/A,53.14,0.81
104.154.120.1,443,N/A,N/A,N/A,N/A,N/A,45.12,0.74
35.221.240.1,443,N/A,N/A,N/A,N/A,N/A,56.11,0.70
104.16.224.3,443,N/A,N/A,N/A,N/A,N/A,52.67,0.58
34.118.128.5,443,N/A,N/A,N/A,N/A,N/A,50.67,0.53
123.108.75.5,443,N/A,N/A,N/A,N/A,N/A,58.30,0.50
34.77.192.2,443,N/A,N/A,N/A,N/A,N/A,12.40,0.38
34.123.176.3,443,N/A,N/A,N/A,N/A,N/A,2.21,0.00
34.126.80.3,443,N/A,N/A,N/A,N/A,N/A,2.42,0.00
172.70.110.4,443,N/A,N/A,N/A,N/A,N/A,2.46,0.00
8.42.245.1,443,N/A,N/A,N/A,N/A,N/A,2.46,0.00
35.221.128.2,443,N/A,N/A,N/A,N/A,N/A,2.52,0.00
35.203.128.3,443,N/A,N/A,N/A,N/A,N/A,2.88,0.00
34.37.0.4,443,N/A,N/A,N/A,N/A,N/A,2.89,0.00
34.32.0.1,443,N/A,N/A,N/A,N/A,N/A,2.89,0.00
34.120.0.2,443,N/A,N/A,N/A,N/A,N/A,3.06,0.00
34.96.128.2,443,N/A,N/A,N/A,N/A,N/A,3.15,0.00
